"state","Year","Deaths","Population","Crude_Rate","Age_Adjusted_Rate","Age_Adjusted_Rate_Lower_95__Conf","Age_Adjusted_Rate_Upper_95__Conf","ln_crude_mort_rate","Crude_Rate_Lower_95__Confidence","Crude_Rate_Upper_95__Confidence","Crude_Rate_Standard_Error","Age_Adjusted_Rate_Standard_Error","Medical_Cannabis_Law","unemployment","rxdmp_original","pmlaw_update","rxid_original","pmlaw_original","ln_age_mort_rate","rxdmp_update","rxid_update","low_thc","recreational_cannabis_law","comprehensive_medical_cannabis","ln_age_mort_rate2","unemployment2","TREAT","StateCode","dem_to_rep_ratio","Neighbor_TREAT","Neighbor_tot","Exposure_to_Neighbor_TREAT"
"Alabama",1999,33,4430141,0.7,0.7,0.5,1,-0.294508944,NA,NA,NA,NA,0,4.3,0,0,0,0,-0.356674944,0,0,0,0,0,-0.356674944,4.3,0,"AL",NA,0,4,0
"Alabama",2000,41,4447100,0.9,0.9,0.7,1.3,-0.081265225,NA,NA,NA,NA,0,4.1,0,0,0,0,-0.105360516,0,0,0,0,0,-0.105360516,4.1,0,"AL",0.7365474068968,0,4,0
"Alabama",2001,50,4468912,1.1,1.1,0.8,1.5,0.112292934,NA,NA,NA,NA,0,4.7,0,0,0,0,0.09531018,0,0,0,0,0,0.09531018,4.7,0,"AL",0.7365474068968,0,4,0
"Alabama",2002,64,4486508,1.4,1.4,1.1,1.8,0.35522332,NA,NA,NA,NA,0,5.4,0,0,0,0,0.336472237,0,0,0,0,0,0.336472237,5.4,0,"AL",0.7365474068968,0,4,0
"Alabama",2003,44,4500752,1,1,0.7,1.4,-0.022639953,NA,NA,NA,NA,0,5.4,0,0,0,0,0,0,0,0,0,0,0,5.4,0,"AL",0.7365474068968,0,4,0
"Alabama",2004,76,4530182,1.7,1.7,1.3,2.1,0.517386132,NA,NA,NA,NA,0,5,0,0,0,0,0.530628251,0,0,0,0,0,0.530628251,5,0,"AL",0.589881451282478,0,4,0
"Alabama",2005,73,4557808,1.6,1.6,1.3,2,0.471032542,NA,NA,NA,NA,0,3.8,0,0,0,0,0.470003629,0,0,0,0,0,0.470003629,3.8,0,"AL",0.589881451282478,0,4,0
"Alabama",2006,118,4599030,2.6,2.6,2.1,3.1,0.94225412,NA,NA,NA,NA,0,3.5,0,0,0,0,0.955511445,1,0,0,0,0,0.955511445,3.5,0,"AL",0.589881451282478,0,4,0
"Alabama",2007,155,4627851,3.3,3.4,2.9,4,1.20874741,NA,NA,NA,NA,0,3.4,1,0,0,0,1.223775432,1,0,0,0,0,1.223775432,3.4,0,"AL",0.589881451282478,0,4,0
"Alabama",2008,176,4661900,3.8,3.9,3.4,4.5,1.328475812,NA,NA,NA,NA,0,5,1,0,0,0,1.360976553,1,0,0,0,0,1.360976553,5,0,"AL",0.642281448916976,0,4,0
"Alabama",2009,192,4708708,4.1,4.2,3.6,4.8,1.405496719,NA,NA,NA,NA,0,9.7,1,0,0,0,1.435084525,1,0,0,0,0,1.435084525,9.7,0,"AL",0.642281448916976,0,4,0
"Alabama",2010,167,4779736,3.5,3.6,3.1,4.2,1.251023405,NA,NA,NA,NA,0,9.5,1,0,0,0,1.280933846,1,0,0,0,0,1.280933846,9.5,0,"AL",0.642281448916976,0,4,0
"Alabama",2011,155,4802740,3.2,3.3,2.8,3.8,1.171653436,2.7,3.7,0.3,0.3,0,9.599609375,1,0,0,0,1.193922469,1,0,0,0,0,1.193922469,9.599609375,0,"AL",0.642281448916976,0,4,0
"Alabama",2012,123,4822023,2.6,2.7,2.2,3.1,0.936405713,2.1,3,0.2,0.2,0,8,1,0,0,0,0.993251773,1,0,0,0,0,0.993251773,8,0,"AL",0.63355375520035,0,4,0
"Alabama",2013,122,4833722,2.5,2.6,2.1,3,0.92581918,2.1,3,0.2,0.2,0,7.19921875,1,1,0,1,0.955511445,1,0,0,0,0,0.955511445,7.19921875,0,"AL",0.63355375520035,0,4,0
